ID	project	sample	group	experiment	run	ftp_path	forward	forward_md5	reverse	reverse_md5
200108_SEQ064_DP800007399TR_L01_SP1912230322	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453393	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453393/	200108_SEQ064_DP800007399TR_L01_SP1912230322_R1.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230322_R1.fq.gz.md5	200108_SEQ064_DP800007399TR_L01_SP1912230322_R2.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230322_R2.fq.gz.md5
200119_SEQ115_DP8400008383TL_L01_SP1912230385	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453394	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453394/	200119_SEQ115_DP8400008383TL_L01_SP1912230385_R1.fq.gz	200119_SEQ115_DP8400008383TL_L01_SP1912230385_R1.fq.gz.md5	200119_SEQ115_DP8400008383TL_L01_SP1912230385_R2.fq.gz	200119_SEQ115_DP8400008383TL_L01_SP1912230385_R2.fq.gz.md5
200120_SEQ011_FP100000782BL_L01_SP1912230448	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453395	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453395/	200120_SEQ011_FP100000782BL_L01_SP1912230448_R1.fq.gz	200120_SEQ011_FP100000782BL_L01_SP1912230448_R1.fq.gz.md5	200120_SEQ011_FP100000782BL_L01_SP1912230448_R2.fq.gz	200120_SEQ011_FP100000782BL_L01_SP1912230448_R2.fq.gz.md5
200120_SEQ012_FP100000754TR_L01_SP1912230448	CNP0001930	PB12	Prydz_Bay	CNX0373395	CNR0453396	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410464/CNX0373395/CNR0453396/	200120_SEQ012_FP100000754TR_L01_SP1912230448_R1.fq.gz	200120_SEQ012_FP100000754TR_L01_SP1912230448_R1.fq.gz.md5	200120_SEQ012_FP100000754TR_L01_SP1912230448_R2.fq.gz	200120_SEQ012_FP100000754TR_L01_SP1912230448_R2.fq.gz.md5
200107_SEQ064_DP800007400TR_L01_SP1912230323	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453397	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453397/	200107_SEQ064_DP800007400TR_L01_SP1912230323_R1.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230323_R1.fq.gz.md5	200107_SEQ064_DP800007400TR_L01_SP1912230323_R2.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230323_R2.fq.gz.md5
200107_SEQ104_DP800007235BR_L01_SP1912230386	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453398	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453398/	200107_SEQ104_DP800007235BR_L01_SP1912230386_R1.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230386_R1.fq.gz.md5	200107_SEQ104_DP800007235BR_L01_SP1912230386_R2.fq.gz	200107_SEQ104_DP800007235BR_L01_SP1912230386_R2.fq.gz.md5
200108_SEQ064_DP800007399TR_L01_SP1912230323	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453399	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453399/	200108_SEQ064_DP800007399TR_L01_SP1912230323_R1.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230323_R1.fq.gz.md5	200108_SEQ064_DP800007399TR_L01_SP1912230323_R2.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230323_R2.fq.gz.md5
200120_SEQ031_FP100000722TL_L01_SP1912230449	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453400	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453400/	200120_SEQ031_FP100000722TL_L01_SP1912230449_R1.fq.gz	200120_SEQ031_FP100000722TL_L01_SP1912230449_R1.fq.gz.md5	200120_SEQ031_FP100000722TL_L01_SP1912230449_R2.fq.gz	200120_SEQ031_FP100000722TL_L01_SP1912230449_R2.fq.gz.md5
200120_SEQ084_DP8400008425TL_L01_SP1912230386	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453401	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453401/	200120_SEQ084_DP8400008425TL_L01_SP1912230386_R1.fq.gz	200120_SEQ084_DP8400008425TL_L01_SP1912230386_R1.fq.gz.md5	200120_SEQ084_DP8400008425TL_L01_SP1912230386_R2.fq.gz	200120_SEQ084_DP8400008425TL_L01_SP1912230386_R2.fq.gz.md5
200221_SEQ061_DP8400008683BR_L01_SP1912230449	CNP0001930	PB13	Prydz_Bay	CNX0373396	CNR0453402	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410465/CNX0373396/CNR0453402/	200221_SEQ061_DP8400008683BR_L01_SP1912230449_R1.fq.gz	200221_SEQ061_DP8400008683BR_L01_SP1912230449_R1.fq.gz.md5	200221_SEQ061_DP8400008683BR_L01_SP1912230449_R2.fq.gz	200221_SEQ061_DP8400008683BR_L01_SP1912230449_R2.fq.gz.md5
